SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2009-Q1,Q1-2009,CAD,Canadian Dollar,6,Millions,,,-591,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2009-Q2,Q2-2009,CAD,Canadian Dollar,6,Millions,,,-1983,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2009-Q3,Q3-2009,CAD,Canadian Dollar,6,Millions,,,-3027,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2009-Q4,Q4-2009,CAD,Canadian Dollar,6,Millions,,,-617,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2010-Q1,Q1-2010,CAD,Canadian Dollar,6,Millions,,,-665,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2010-Q2,Q2-2010,CAD,Canadian Dollar,6,Millions,,,-2011,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2010-Q3,Q3-2010,CAD,Canadian Dollar,6,Millions,,,-6038,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2010-Q4,Q4-2010,CAD,Canadian Dollar,6,Millions,,,-438,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2011-Q1,Q1-2011,CAD,Canadian Dollar,6,Millions,,,-158,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2011-Q2,Q2-2011,CAD,Canadian Dollar,6,Millions,,,-2288,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2011-Q3,Q3-2011,CAD,Canadian Dollar,6,Millions,,,1614,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2011-Q4,Q4-2011,CAD,Canadian Dollar,6,Millions,,,2022,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2012-Q1,Q1-2012,CAD,Canadian Dollar,6,Millions,,,-1023,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2012-Q2,Q2-2012,CAD,Canadian Dollar,6,Millions,,,-4282,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2012-Q3,Q3-2012,CAD,Canadian Dollar,6,Millions,,,-4976,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2012-Q4,Q4-2012,CAD,Canadian Dollar,6,Millions,,,-2252,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2013-Q1,Q1-2013,CAD,Canadian Dollar,6,Millions,,,-1540,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2013-Q2,Q2-2013,CAD,Canadian Dollar,6,Millions,,,-1192,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2013-Q3,Q3-2013,CAD,Canadian Dollar,6,Millions,,,-2259,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2013-Q4,Q4-2013,CAD,Canadian Dollar,6,Millions,,,-2251,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2014-Q1,Q1-2014,CAD,Canadian Dollar,6,Millions,,,1450,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2014-Q2,Q2-2014,CAD,Canadian Dollar,6,Millions,,,2745,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2014-Q3,Q3-2014,CAD,Canadian Dollar,6,Millions,,,3428,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2014-Q4,Q4-2014,CAD,Canadian Dollar,6,Millions,,,-2046,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2015-Q1,Q1-2015,CAD,Canadian Dollar,6,Millions,,,-7336,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2015-Q2,Q2-2015,CAD,Canadian Dollar,6,Millions,,,-5227,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2015-Q3,Q3-2015,CAD,Canadian Dollar,6,Millions,,,-3854,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2015-Q4,Q4-2015,CAD,Canadian Dollar,6,Millions,,,-7334,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2016-Q1,Q1-2016,CAD,Canadian Dollar,6,Millions,,,-7749,,
